Code,name,symptoms,,symptoms,symptoms,symptoms,,symptoms,,symptoms,,symptoms,symptoms,symptoms,symptoms,symptoms,symptoms,symptoms,symptoms,symptoms,symptoms,symptoms,,symptoms,,Diagnosis,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,commonTestsAndProceduresDesc,,,,,,,,,,,,,
1,Anemia of chronic disease,Weakness,,Diarrhea,,Fatigue,,Dizziness,,Vomiting,,Weight gain,,Chills,,Itching of skin,,Feeling ill,,Coryza,,Low back weakness,,Emotional symptoms,,Anemia of chronic disease," glucose measurement, "," complete physical skin exam performed (ml), "," electrolytes panel, "," electrocardiogram, ",hemoglobin a1c measurement and,examination of breast,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresElectrolytes panel,{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test),{commonTestsAndProceduresExamination of breast],The most commonly prescribed drugs for patients with anemia of chronic disease include","epoetin alfa (procrit),"," tolterodine (detrol), "," alendronate, "," ferric oxide, saccharated (venofer), "," darbepoetin alfa (aranesp), "," memantine (namenda), "," eszopiclone (lunesta), "," hydralazine, "," dexamethasone, "," donepezil (aricept), "," vitamin b 12, ",methylphenidate and,insulin isophane-insulin regular,".,[{commonMedicationsEpoetin Alfa (Procrit),{commonMedicationsTolterodine (Detrol),{commonMedicationsAlendronate,{commonMedicationsFerric Oxide, Saccharated (Venofer),{commonMedicationsDarbepoetin Alfa (Aranesp),{commonMedicationsMemantine (Namenda),{commonMedicationsEszopiclone (Lunesta),{commonMedicationsHydralazine,{commonMedicationsDexamethasone,{commonMedicationsDonepezil (Aricept),{commonMedicationsVitamin B 12,{commonMedicationsMethylphenidate,{commonMedicationsInsulin Isophane-Insulin Regular],Groups of people at highest risk for anemia of chronic disease include ",age 75+ years,age 60-74 years.,"On the other hand, age 5-14 years, age 1-4 years, age 15-29 years, and age < 1 years almost never get anemia of chronic disease.,Within all the people who go to their doctor with anemia of chronic disease, 52% report having weakness, 34% report having fatigue, and 34% report having diarrhea. ","The symptoms that are highly suggestive of anemia of chronic disease are low back weakness and emotional symptoms, although you may still have anemia of chronic disease without those symptoms.",,,,,,,,
2,Dysthymic disorder,Depression,,Anxiety and nervousness,,Depressive or psychotic symptoms,,Insomnia,,Excessive anger,,Low self-esteem,,Disturbance of memory,,Temper problems,,Fears and phobias,,Slurring words,,Loss of sex drive,,Antisocial behavior,,Dysthymic disorder," depression screen, "," lipid panel, "," toxicology screen, "," psychological and psychiatric evaluation and therapy, ",varicose vein stripping; lower limb and,other or therapeutic procedures on nose; mouth and pharynx,".,[{commonTestsAndProceduresPsychotherapy,{commonTestsAndProceduresMental health counseling,{commonTestsAndProceduresDepression screen (Depression screening),{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresToxicology screen,{commonTestsAndProceduresPsychological and psychiatric evaluation and therapy,{commonTestsAndProceduresVaricose vein stripping; lower limb,{commonTestsAndProceduresOther OR therapeutic procedures on nose; mouth and pharynx],The most commonly prescribed drugs for patients with dysthymic disorder include","escitalopram (lexapro),"," fluoxetine (prozac), "," bupropion (wellbutrin), "," clonazepam, "," citalopram (celexa), "," paroxetine (paxil), "," venlafaxine (effexor), "," buspirone (buspar), "," atomoxetine (strattera), "," doxepin, "," desvenlafaxine (pristiq), ",darunavir (prezista) and,lopinavir,".,[{commonMedicationsEscitalopram (Lexapro),{commonMedicationsFluoxetine (Prozac),{commonMedicationsBupropion (Wellbutrin),{commonMedicationsClonazepam,{commonMedicationsCitalopram (Celexa),{commonMedicationsParoxetine (Paxil),{commonMedicationsVenlafaxine (Effexor),{commonMedicationsBuspirone (Buspar),{commonMedicationsAtomoxetine (Strattera),{commonMedicationsDoxepin,{commonMedicationsDesvenlafaxine (Pristiq),{commonMedicationsDarunavir (Prezista),{commonMedicationsLopinavir],Groups of people at highest risk for dysthymic disorder include ",age 45-59 years.,"On the other hand, age 1-4 years and age < 1 years almost never get dysthymic disorder.,Within all the people who go to their doctor with dysthymic disorder, 76% report having depression, 72% report having anxiety and nervousness, and 44% report having depressive or psychotic symptoms. ","The symptoms that are highly suggestive of dysthymic disorder are depression, anxiety and nervousness, low self-esteem, and loss of sex drive, although you may still have dysthymic disorder without those symptoms.",,,,,,,,,
3,Scarlet fever,Skin rash,,Fever,,Sore throat,,Cough,,Coryza,,Skin swelling,,Groin pain,,Penis pain,,Throat swelling,,Difficulty in swallowing,,Sinus congestion,,Mouth pain,,Scarlet fever,nonoperative urinary system measurements,".,[{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresInfluenzavirus antibody assay,{commonTestsAndProceduresNonoperative urinary system measurements],The most commonly prescribed drugs for patients with scarlet fever include "," amoxicillin, "," penicillin, "," cefadroxil, "," calamine-pramoxine topical, "," brompheniramine / pseudoephedrine, "," colloidal oatmeal topical, "," phenol topical, "," lactic acid topical, "," lactobacillus acidophilus (dofus), ","chlorpheniramine / dextromethorphan / phenylephrine,",erythromycin ophthalmic and,lisdexamfetamine (vyvanse),".,[{commonMedicationsAmoxicillin,{commonMedicationsPenicillin,{commonMedicationsCefadroxil,{commonMedicationsCalamine-Pramoxine Topical,{commonMedicationsColloidal Oatmeal Topical,{commonMedicationsPhenol Topical,{commonMedicationsLactic Acid Topical,{commonMedicationsLactobacillus Acidophilus (Dofus),{commonMedicationsErythromycin Ophthalmic,{commonMedicationsLisdexamfetamine (Vyvanse)],Groups of people at highest risk for scarlet fever include ","age 5-14 years,",age 1-4 years and,race/ethnicity = black.,"On the other hand, age 75+ years and age 45-59 years almost never get scarlet fever.,Within all the people who go to their doctor with scarlet fever, 94% report having skin rash, 86% report having fever, and 81% report having sore throat. ","The symptoms that are highly suggestive of scarlet fever are skin rash, penis pain, and throat swelling, although you may still have scarlet fever without those symptoms.",,,,,,,,,,,,,
4,Hypertensive heart disease,Palpitations,,Shortness of breath,,Sharp chest pain,,Difficulty breathing,,Weakness,,Fatigue,,Chest tightness,,Insomnia,,Heartburn,,Leg swelling,,Fluid retention,,Recent pregnancy,,Hypertensive heart disease," electrocardiogram, "," glucose measurement, "," lipid panel, "," ultrasonography, ",complete physical skin exam performed (ml) and,electrolytes panel,".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresComplete blood count (Cbc),{commonTestsAndProceduresElectrocardiogram,{commonTestsAndProceduresGlucose measurement (Glucose level),{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresUltrasonography (Ultrasound),{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresElectrolytes panel],The most commonly prescribed drugs for patients with hypertensive heart disease include","amlodipine,"," carvedilol, "," isosorbide, "," rosuvastatin (crestor), "," valsartan (diovan), "," digoxin, "," diltiazem, "," spironolactone, "," benazepril, "," hydralazine, "," torsemide, ",hydrochlorothiazide / valsartan and,hyzaar,".,[{commonMedicationsAmlodipine,{commonMedicationsCarvedilol,{commonMedicationsIsosorbide,{commonMedicationsRosuvastatin (Crestor),{commonMedicationsValsartan (Diovan),{commonMedicationsDigoxin,{commonMedicationsDiltiazem,{commonMedicationsSpironolactone,{commonMedicationsBenazepril,{commonMedicationsHydralazine,{commonMedicationsTorsemide,{commonMedicationsHyzaar],Groups of people at highest risk for hypertensive heart disease include ",age 75+ years,age 60-74 years.,"On the other hand, age 5-14 years, age 1-4 years, age 15-29 years, and age < 1 years almost never get hypertensive heart disease.,Within all the people who go to their doctor with hypertensive heart disease, 48% report having palpitations, 45% report having shortness of breath, and 44% report having sharp chest pain. ","The symptoms that are highly suggestive of hypertensive heart disease are palpitations, although you may still have hypertensive heart disease without those symptoms.",,,,,,,,
5,Drug abuse (barbiturates),Drug abuse,,Abusing alcohol,,Anxiety and nervousness,,Depression,,Depressive or psychotic symptoms,,Abnormal involuntary movements,,Delusions or hallucinations,,Slurring words,,Excessive anger,,Hostile behavior,,Drug abuse (barbiturates),," blood alcohol, ",," psychological and psychiatric evaluation and therapy, ",depression screen and,intubation,".,[{commonTestsAndProceduresMental health counseling,{commonTestsAndProceduresPsychotherapy,{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresBlood alcohol,{commonTestsAndProceduresToxicology screen,{commonTestsAndProceduresPsychological and psychiatric evaluation and therapy,{commonTestsAndProceduresDepression screen (Depression screening),{commonTestsAndProceduresIntubation],The most commonly prescribed drugs for patients with drug abuse (barbiturates) include","bupropion (wellbutrin),"," quetiapine (seroquel), "," trazodone, "," clonazepam, "," duloxetine (cymbalta), "," buprenorphine / naloxone, "," methadone, "," benztropine, "," mirtazapine, "," thiamine, "," chloral hydrate, ",acamprosate (campral) and,paliperidone (invega),".,[{commonMedicationsBupropion (Wellbutrin),{commonMedicationsQuetiapine (Seroquel),{commonMedicationsTrazodone,{commonMedicationsClonazepam,{commonMedicationsDuloxetine (Cymbalta),{commonMedicationsMethadone,{commonMedicationsBenztropine,{commonMedicationsMirtazapine,{commonMedicationsThiamine,{commonMedicationsChloral Hydrate,{commonMedicationsAcamprosate (Campral),{commonMedicationsPaliperidone (Invega)],Groups of people at highest risk for drug abuse (barbiturates) include ",age 30-44 years,age 45-59 years.,"On the other hand, age 5-14 years and age < 1 years almost never get drug abuse (barbiturates).,Within all the people who go to their doctor with drug abuse (barbiturates), 50% report having drug abuse, 43% report having abusing alcohol, and 43% report having anxiety and nervousness. ","The symptoms that are highly suggestive of drug abuse (barbiturates) are drug abuse and abusing alcohol, although you may still have drug abuse (barbiturates) without those symptoms.",,,,,,,,,,,,
6,Polycystic ovarian syndrome (PCOS),Infertility,,Unpredictable menstruation,,Weight gain,,Pelvic pain,,Absence of menstruation,,Heavy menstrual flow,,Intermenstrual bleeding,,Long menstrual periods,,Painful menstruation,,Cramps and spasms,,Hot flashes,,Acne or pimples,,Polycystic ovarian syndrome (PCOS)," ultrasonography, "," examination of breast, "," lipid panel, "," standard pregnancy test, ",hemoglobin a1c measurement and,microscopic examination (bacterial smear; culture; toxicology),".,[{commonTestsAndProceduresHematologic tests (Blood test),{commonTestsAndProceduresPelvis exam,{commonTestsAndProceduresUltrasonography (Ultrasound),{commonTestsAndProceduresExamination of breast,{commonTestsAndProceduresLipid panel,{commonTestsAndProceduresStandard pregnancy test,{commonTestsAndProceduresHemoglobin A1c measurement (Hemoglobin a1c test),{commonTestsAndProceduresMicroscopic examination (bacterial smear; culture; toxicology)],The most commonly prescribed drugs for patients with polycystic ovarian syndrome (pcos) include","metformin,"," medroxyprogesterone, "," clomiphene (clomid), "," drospirenone / ethinyl estradiol, "," spironolactone, "," estradiol, "," letrozole (femara), "," leuprolide (lupron), "," ortho cyclen, "," progesterone, "," modicon, ",human chorionic gonadotropin (hcg) and,ethinyl estradiol / norgestrel,".,[{commonMedicationsMetformin,{commonMedicationsMedroxyprogesterone,{commonMedicationsClomiphene (Clomid),{commonMedicationsSpironolactone,{commonMedicationsEstradiol,{commonMedicationsLetrozole (Femara),{commonMedicationsLeuprolide (Lupron),{commonMedicationsOrtho Cyclen,{commonMedicationsProgesterone,{commonMedicationsModicon,{commonMedicationsHuman Chorionic Gonadotropin (Hcg)],Groups of people at highest risk for polycystic ovarian syndrome (pcos) include ","age 30-44 years,",sex == female and,age 15-29 years.,"On the other hand, age 75+ years, sex == male, age 60-74 years, age 1-4 years, and age < 1 years almost never get polycystic ovarian syndrome (pcos).,Within all the people who go to their doctor with polycystic ovarian syndrome (pcos), 47% report having infertility, 34% report having unpredictable menstruation, and 27% report having weight gain. ","The symptoms that are highly suggestive of polycystic ovarian syndrome (pcos) are infertility, unpredictable menstruation, absence of menstruation, heavy menstrual flow, intermenstrual bleeding, long menstrual periods, painful menstruation, and hot flashes, although you may still have polycystic ovarian syndrome (pcos) without those symptoms.",,,,,,,
7,Encephalitis,Headache,,Loss of sensation,,Seizures,,Dizziness,,Leg pain,,Fatigue,,Disturbance of memory,,Problems with movement,,Paresthesia,,Insomnia,,Joint pain,,Leg weakness,,Encephalitis," physical therapy exercises, "," other diagnostic procedures (interview; evaluation; consultation), "," occupational therapy assessment, "," liver function tests, ",diagnostic spinal tap and,physical therapy exercises; manipulation; and other procedures,".,[{commonTestsAndProceduresRadiographic imaging procedure,{commonTestsAndProceduresMagnetic resonance imaging (Mri),{commonTestsAndProceduresPhysical therapy exercises (Exercises),{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresOccupational therapy assessment (Speech therapy),{commonTestsAndProceduresLiver function tests (Liver test),{commonTestsAndProceduresDiagnostic spinal tap (Spinal tap),{commonTestsAndProceduresPhysical therapy exercises; manipulation; and other procedures],The most commonly prescribed drugs for patients with encephalitis include","baclofen,"," gabapentin, "," tizanidine, "," diazepam (valium), "," pregabalin (lyrica), "," lamotrigine (lamictal), "," interferon beta-1a (avonex), "," valproic acid, "," vancomycin, "," diclofenac, "," topiramate (topamax), "," albumin human, usp (albutein) and ",oxaprozin,".,[{commonMedicationsBaclofen,{commonMedicationsGabapentin,{commonMedicationsTizanidine,{commonMedicationsDiazepam (Valium),{commonMedicationsPregabalin (Lyrica),{commonMedicationsLamotrigine (Lamictal),{commonMedicationsInterferon Beta-1A (Avonex),{commonMedicationsValproic Acid,{commonMedicationsVancomycin,{commonMedicationsDiclofenac,{commonMedicationsTopiramate (Topamax),{commonMedicationsAlbumin Human, Usp (Albutein),{commonMedicationsOxaprozin],Groups of people at highest risk for encephalitis include ",age 5-14 years,"age 45-59 years.,Within all the people who go to their doctor with encephalitis, 62% report having headache, 53% report having loss of sensation, and 53% report having seizures. ","The symptoms that are highly suggestive of encephalitis are disturbance of memory and leg weakness, although you may still have encephalitis without those symptoms.",,,,,,,,,
8,Cyst of the eyelid,Mass on eyelid,,Skin growth,,Eyelid lesion or rash,,Pain in eye,,Symptoms of eye,,Diminished vision,,Wrinkles on skin,,Itchiness of eye,,Abnormal movement of eyelid,,Skin rash,,Muscle swelling,,Elbow cramps or spasms,,Cyst of the eyelid," lens and cataract procedures, "," other therapeutic procedures on eyelids; conjunctiva; cornea, "," ophthalmologic and otologic diagnosis and treatment, "," corneal transplant, ",procedures on spleen and,removal of ectopic pregnancy,".,[{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresBiopsy,{commonTestsAndProceduresLens and cataract procedures,{commonTestsAndProceduresOther therapeutic procedures on eyelids; conjunctiva; cornea,{commonTestsAndProceduresOphthalmologic and otologic diagnosis and treatment,{commonTestsAndProceduresCorneal transplant,{commonTestsAndProceduresProcedures on spleen (Spleen operation),{commonTestsAndProceduresRemoval of ectopic pregnancy],The most commonly prescribed drugs for patients with cyst of the eyelid include","carteolol ophthalmic,"," betaxolol ophthalmic, "," fluorouracil, "," dexamethasone-tobramycin ophthalmic, "," terbinafine topical, "," erythromycin ophthalmic, "," sodium sulfacetamide ophthalmic, "," proparacaine ophthalmic, "," brimonidine ophthalmic, "," latanoprost, "," triamcinolone topical product, ",lovastatin and,chlorpheniramine / phenindamine / phenylpropanolamine,".,[{commonMedicationsCarteolol Ophthalmic,{commonMedicationsBetaxolol Ophthalmic,{commonMedicationsFluorouracil,{commonMedicationsDexamethasone-Tobramycin Ophthalmic,{commonMedicationsTerbinafine Topical,{commonMedicationsErythromycin Ophthalmic,{commonMedicationsSodium Sulfacetamide Ophthalmic,{commonMedicationsProparacaine Ophthalmic,{commonMedicationsBrimonidine Ophthalmic,{commonMedicationsLatanoprost,{commonMedicationsTriamcinolone Topical Product,{commonMedicationsLovastatin],Groups of people at highest risk for cyst of the eyelid include ","race/ethnicity = other,",age 60-74 years and,age 45-59 years.,"On the other hand, age 1-4 years almost never get cyst of the eyelid.,Within all the people who go to their doctor with cyst of the eyelid, 73% report having mass on eyelid, 67% report having skin growth, and 48% report having eyelid lesion or rash. ","The symptoms that are highly suggestive of cyst of the eyelid are mass on eyelid, skin growth, eyelid lesion or rash, pain in eye, symptoms of eye, wrinkles on skin, itchiness of eye, abnormal movement of eyelid, muscle swelling, and elbow cramps or spasms, although you may still have cyst of the eyelid without those symptoms.",,,,,,,
9,Balanitis,Penis redness,,Penis pain,,Diaper rash,,Skin rash,,Abnormal appearing skin,,Fever,,Painful urination,,Cough,,Suprapubic pain,,Penile discharge,,Skin lesion,,Itching of skin,,Balanitis," excision, "," other diagnostic procedures (interview; evaluation; consultation), "," rectal examination, "," prostate specific antigen measurement, ",prophylactic vaccinations and inoculations and,culture wound,".,[{commonTestsAndProceduresComplete physical skin exam performed (ML),{commonTestsAndProceduresUrinalysis,{commonTestsAndProceduresExcision (Removal),{commonTestsAndProceduresOther diagnostic procedures (interview; evaluation; consultation),{commonTestsAndProceduresRectal examination,{commonTestsAndProceduresProstate specific antigen measurement (Prostate specific antigen test),{commonTestsAndProceduresProphylactic vaccinations and inoculations,{commonTestsAndProceduresCulture wound],The most commonly prescribed drugs for patients with balanitis include","nystatin topical product,"," clotrimazole topical, "," fluconazole (diflucan), "," bacitracin (septa), "," mupirocin topical, "," ketoconazole, "," econazole topical, "," miconazole topical product, "," betamethasone-clotrimazole topical, "," carbinoxamine / phenylephrine, "," clove, ",nystatin and,clocortolone topical,".,[{commonMedicationsNystatin Topical Product,{commonMedicationsClotrimazole Topical,{commonMedicationsFluconazole (Diflucan),{commonMedicationsBacitracin (Septa),{commonMedicationsMupirocin Topical,{commonMedicationsKetoconazole,{commonMedicationsEconazole Topical,{commonMedicationsMiconazole Topical Product,{commonMedicationsBetamethasone-Clotrimazole Topical,{commonMedicationsClove,{commonMedicationsNystatin,{commonMedicationsClocortolone Topical],Groups of people at highest risk for balanitis include ","race/ethnicity = other,","race/ethnicity = hispanic,","sex == male,",age 1-4 years and,"age < 1 years.,Within all the people who go to their doctor with balanitis, 73% report having penis redness, 53% report having penis pain, and 47% report having diaper rash. ","The symptoms that are highly suggestive of balanitis are penis redness, penis pain, diaper rash, and penile discharge, although you may still have balanitis without those symptoms.",,,,,,
